user_id,smoking_status,alcohol_use,physical_activity_level,diet_type,sleep_hours,water_intake_liters
1,Never,Moderate,Regular,Mediterranean,7.5,2.2
2,Former,Light,High,Standard,6.8,2.8
3,Never,None,Low,Vegetarian,8.0,2.0
4,Current,Heavy,Low,Standard,6.2,1.8
5,Never,Light,High,Asian,7.8,2.5
6,Former,Moderate,Regular,Standard,7.2,2.4
7,Never,Light,Regular,Mediterranean,7.6,2.3
8,Current,Moderate,Low,Standard,6.5,2.0
9,Never,None,High,Vegetarian,8.2,2.7
10,Former,Moderate,Regular,Standard,7.0,2.2
11,Never,Light,Regular,Mediterranean,7.4,2.1
12,Current,Heavy,Low,Standard,6.0,1.9
13,Never,Moderate,Regular,Standard,7.3,2.3
14,Former,Light,High,Asian,7.7,2.6
15,Never,Light,High,Vegetarian,8.1,2.8
16,Current,Heavy,Low,Standard,6.1,1.7
17,Never,Moderate,Regular,Mediterranean,7.5,2.4
18,Former,Moderate,Regular,Standard,7.1,2.1
19,Never,None,High,Asian,8.0,2.5
20,Current,Moderate,Low,Standard,6.4,2.0
21,Never,Light,Regular,Mediterranean,7.6,2.3
22,Former,Heavy,Regular,Standard,6.9,2.2
23,Never,Moderate,Low,Standard,7.2,2.0
24,Never,Light,High,Asian,7.9,2.6
25,Former,Moderate,Regular,Mediterranean,7.4,2.2
26,Current,Light,High,Standard,6.8,2.4
27,Never,None,Regular,Vegetarian,8.0,2.5
28,Current,Heavy,Low,Standard,6.0,1.8
29,Never,Light,High,Asian,8.1,2.7
30,Former,Moderate,Regular,Standard,7.0,2.1
31,Never,Light,High,Vegetarian,8.3,2.9
32,Current,Moderate,Low,Standard,6.3,1.9
33,Never,Moderate,Regular,Mediterranean,7.5,2.3
34,Former,Heavy,Low,Standard,6.2,1.8
35,Never,None,High,Asian,8.0,2.6
36,Current,Moderate,Regular,Standard,6.7,2.0
37,Never,Light,Regular,Mediterranean,7.7,2.4
38,Current,Heavy,Low,Standard,6.1,1.7
39,Never,Moderate,Regular,Vegetarian,7.8,2.5
40,Former,Light,High,Asian,7.6,2.3
41,Never,None,High,Vegetarian,8.2,2.8
42,Current,Moderate,Regular,Standard,6.6,2.1
43,Never,Light,Low,Mediterranean,7.3,2.2
44,Former,Moderate,Regular,Standard,7.1,2.2
45,Never,None,High,Asian,8.0,2.5
